"Id";"DayType"
"Status2023809";"occupied"
"Status2023810";"occupied"
"Status2023811";"occupied"
"Status2023812";"departure"
"Status2023802";"arrivalDeparture"
"Status2024224";"arrivalDeparture"
"Status2024225";"occupied"
"Status2024226";"occupied"
"Status2024227";"occupied"
"Status2024228";"occupied"
"Status2024229";"occupied"
"Status2024301";"occupied"
"Status2024302";"departure"
"Status2023617";"arrival"
"Status2023618";"occupied"
"Status2023619";"occupied"
"Status2023620";"occupied"
"Status2023621";"occupied"
"Status2023622";"occupied"
"Status2023623";"occupied"
"Status2023624";"departure"
"Status2023826";"arrival"
"Status2023827";"occupied"
"Status2023828";"occupied"
"Status2023829";"occupied"
"Status2023830";"occupied"
"Status2023831";"occupied"
"Status2023901";"occupied"
"Status2023902";"occupied"
"Status2023903";"occupied"
"Status2023904";"occupied"
"Status2023905";"occupied"
"Status2023906";"occupied"
"Status2023907";"occupied"
"Status2023908";"occupied"
"Status2023909";"departure"
"Status20231223";"arrival"
"Status20231224";"occupied"
"Status20231225";"occupied"
"Status20231226";"occupied"
"Status20231227";"occupied"
"Status20231228";"occupied"
"Status20231229";"occupied"
"Status20231230";"occupied"
"Status20231231";"occupied"
"Status2024101";"occupied"
"Status2024102";"occupied"
"Status2024103";"occupied"
"Status2024104";"occupied"
"Status2024105";"occupied"
"Status2024106";"departure"
"Status20231010";"occupied"
"Status20231011";"occupied"
"Status20231012";"occupied"
"Status20231013";"occupied"
"Status20231022";"departure"
"Status20231014";"departure"
"Status20231015";"arrival"
"Status20231016";"occupied"
"Status20231017";"occupied"
"Status20231018";"occupied"
"Status20231019";"occupied"
"Status20231020";"occupied"
"Status20231021";"occupied"
"Status20231006";"notToOccupy"
"Status20231007";"notToOccupy"
"Status20231008";"notToOccupy"
"Status20231009";"notToOccupy"
"Status2023923";"notToOccupy"
"Status2023924";"notToOccupy"
"Status2023925";"notToOccupy"
"Status2023929";"notToOccupy"
"Status2023930";"notToOccupy"
"Status20231001";"notToOccupy"
"Status2024118";"arrival"
"Status2024119";"occupied"
"Status2024120";"occupied"
"Status2024121";"departure"
"Status2024929";"occupied"
"Status2024930";"occupied"
"Status20241001";"occupied"
"Status20241002";"occupied"
"Status20241003";"occupied"
"Status20241004";"occupied"
"Status20241005";"occupied"
"Status20241006";"occupied"
"Status20241007";"occupied"
"Status20241008";"occupied"
"Status20241009";"occupied"
"Status20241010";"occupied"
"Status20241011";"occupied"
"Status20241221";"arrival"
"Status20241222";"occupied"
"Status20241223";"occupied"
"Status20241224";"occupied"
